,n_attack,n_releases,n_aggressive,n_less_aggressive
0,100,0,100,0
1,99,1,99,1
2,98,2,98,2
3,96,4,98,2
4,94,6,100,0
5,91,9,100,0
6,87,13,99,1
7,81,19,100,0
8,68,32,99,1
9,53,47,98,2
10,34,66,96,4
11,13,87,96,4
12,0,100,93,7
13,0,100,90,10
14,0,100,89,11
15,1,99,83,17
16,0,100,74,26
17,1,99,68,32
18,3,97,61,39
19,2,98,52,48
20,4,96,50,50
21,2,98,46,54
22,2,98,37,63
23,0,100,22,78
24,1,99,14,86
25,0,100,7,93
26,1,99,4,96
27,2,98,1,99
28,0,100,1,99
29,0,100,2,98
30,1,99,3,97
31,1,99,2,98
32,1,99,3,97
33,1,99,2,98
34,1,99,4,96
35,2,98,3,97
36,0,100,3,97
37,1,99,4,96
38,1,99,3,97
39,1,99,1,99
40,1,99,2,98
41,1,99,3,97
42,1,99,3,97
43,3,97,5,95
44,3,97,3,97
45,2,98,0,100
46,3,97,0,100
47,1,99,3,97
48,2,98,3,97
49,2,98,1,99
50,4,96,0,100
51,3,97,0,100
52,5,95,0,100
53,7,93,2,98
54,6,94,0,100
55,4,96,0,100
56,2,98,2,98
57,3,97,2,98
58,1,99,2,98
59,0,100,1,99
60,0,100,4,96
61,1,99,1,99
62,1,99,0,100
63,2,98,0,100
64,3,97,1,99
65,6,94,3,97
66,7,93,3,97
67,5,95,1,99
68,6,94,4,96
69,4,96,1,99
70,3,97,2,98
71,4,96,5,95
72,2,98,2,98
73,3,97,3,97
74,7,93,3,97
75,7,93,2,98
76,5,95,2,98
77,3,97,3,97
78,2,98,1,99
79,1,99,2,98
80,1,99,0,100
81,2,98,1,99
82,5,95,1,99
83,6,94,1,99
84,3,97,1,99
85,3,97,1,99
86,5,95,1,99
87,4,96,0,100
88,2,98,0,100
89,2,98,1,99
90,2,98,2,98
91,0,100,4,96
92,1,99,4,96
93,1,99,1,99
94,0,100,0,100
95,0,100,2,98
96,0,100,0,100
97,4,96,4,96
98,4,96,2,98
99,5,95,2,98
100,4,96,4,96
101,5,95,3,97
102,6,94,4,96
103,6,94,2,98
104,4,96,2,98
105,4,96,2,98
106,3,97,3,97
107,1,99,2,98
108,0,100,2,98
109,0,100,2,98
110,2,98,2,98
111,3,97,0,100
112,3,97,2,98
113,3,97,1,99
114,7,93,2,98
115,7,93,2,98
116,6,94,1,99
117,8,92,1,99
118,13,87,1,99
119,7,93,5,95
120,3,97,5,95
121,1,99,1,99
122,2,98,3,97
123,2,98,5,95
124,1,99,3,97
125,3,97,3,97
126,5,95,2,98
127,4,96,0,100
128,5,95,0,100
129,4,96,1,99
130,3,97,3,97
131,2,98,1,99
132,0,100,3,97
133,1,99,0,100
134,1,99,2,98
135,2,98,1,99
136,3,97,1,99
137,8,92,1,99
138,7,93,1,99
139,6,94,3,97
140,5,95,1,99
141,6,94,3,97
142,4,96,3,97
143,3,97,1,99
144,2,98,1,99
145,3,97,1,99
146,6,94,0,100
147,8,92,2,98
148,6,94,2,98
149,5,95,2,98
150,2,98,0,100
151,2,98,0,100
152,3,97,3,97
153,4,96,6,94
154,3,97,5,95
155,3,97,4,96
156,2,98,3,97
157,1,99,5,95
158,1,99,6,94
159,2,98,3,97
160,3,97,2,98
161,3,97,2,98
162,2,98,2,98
163,2,98,2,98
164,1,99,2,98
165,2,98,0,100
166,1,99,0,100
167,1,99,0,100
168,1,99,1,99
169,1,99,0,100
170,3,97,0,100
171,3,97,1,99
172,4,96,3,97
173,1,99,1,99
174,2,98,2,98
175,1,99,1,99
176,0,100,1,99
177,1,99,0,100
178,1,99,2,98
